producer,name,vintage,varietal,region,country,size_ml,format,currency,quantity,unit_cost,bin,section
Weingut Wagner,Sonnenlage Riesling,2005,Riesling,Rheingau,Germany,750,Bottle,USD,54,2197.55,C1-1,Whites
Weingut Steiner,Vina del Alto Gruner Veltliner,1983,Gruner Veltliner,Wachau,Austria,750,Bottle,EUR,25,46.50,D26-8,Whites
Chateau Bertrand,Alte Reben,2013,Syrah,Rhone Valley,France,750,Bottle,EUR,22,3950.17,R37-10,Reds
Quinta da Rocha,10 Year Tawny,,Port Blend,Douro,Portugal,750,Bottle,USD,52,288.53,A22-6,Fortified
Hartley Wines,Single Vineyard Chardonnay,1984,Chardonnay,Napa Valley,United States,750,Bottle,USD,34,865.85,S20-12,Whites
Ridge Vineyards,Monte Bello,2005,Cabernet Sauvignon,Santa Cruz Mountains,United States,750,Bottle,EUR,60,24.96,D8-6,Reds
Foggy Bend Ridge Vineyard,Terra Bruna,1981,Garganega,Veneto,Italy,750,Bottle,USD,25,226.08,R5-2,Whites
Bond,Vecina,2005,Cabernet Sauvignon,Napa Valley,United States,750,Bottle,USD,1,2975.75,B37-9,Reds
Quinta Nogueira,Clos de la Chapelle,2019,Touriga Nacional,Douro,Portugal,750,Bottle,USD,98,901.26,B1-8,Reds
Domaine Bonnet,Les Grandes Vignes,2016,Gewurztraminer,Alsace,France,750,Bottle,USD,83,2081.85,R35-9,Whites
Weingut Wagner,Encosta Dourada,1996,Riesling,Wachau,Austria,750,Bottle,GBP,88,10.40,B25-12,Whites
Ravenscroft Cellars,Estate Chardonnay,2017,Chardonnay,Napa Valley,United States,750,Bottle,USD,13,23.92,B7-1,Whites
Cantina Ricci,Terrassenlage Garganega,1984,Garganega,Veneto,Italy,750,Bottle,EUR,26,2951.43,B33-6,Whites
Podere Villa,Vale do Rio,1997,Sangiovese,Tuscany,Italy,750,Bottle,USD,72,91.60,A29-4,Reds
Chateau Fontaine,Vina del Alto,2022,Chardonnay,Burgundy,France,750,Bottle,GBP,15,1097.08,A40-10,Whites
Bodegas Campos,Colline d'Oro,2020,Tempranillo,Rioja,Spain,750,Bottle,USD,66,677.25,S3-11,Reds
Fattoria Fontana,Les Terrasses,2006,Sangiovese,Tuscany,Italy,750,Bottle,EUR,24,250.56,D23-4,Reds
Cantina Ricci,La Combe aux Loups,2010,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,USD,23,9.42,C18-3,Reds
Maison Chapelle,Weinberg Reserve,1980,Chardonnay,Burgundy,France,750,Bottle,USD,4,4406.71,D32-1,Whites
Clos Fontaine,Les Fournaux,2013,Sauvignon Blanc,Loire Valley,France,750,Bottle,EUR,91,10.36,S11-3,Whites
Clos Girard,Les Chaumes,1988,Grenache,Rhone Valley,France,750,Bottle,USD,78,4206.93,A11-4,Reds
Cantina Ricci,Ribera Alta,1996,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,USD,5,2355.37,A20-5,Reds
Weingut Kellermann,Vina del Alto Riesling,1997,Riesling,Rheingau,Germany,750,Bottle,USD,113,57.07,A23-9,Whites
Fairweather Vineyards,Pinot Noir Reserve,1996,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,4,73.87,C11-2,Reds
Caldwell Estate,Pinot Noir Reserve,1990,Pinot Noir,Central Otago,New Zealand,750,Bottle,EUR,30,456.26,S29-1,Reds
Sawyer Cellars,Estate Pinot Noir,1976,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,21,47.38,S14-1,Reds
Fattoria Fontana,Clos du Moulin,2023,Grillo,Sicily,Italy,750,Bottle,EUR,75,111.53,A30-9,Cellar
Cantina Colombo,Cuesta del Rio Barbera,2008,Barbera,Piedmont,Italy,750,Bottle,USD,13,179.01,S15-7,Reds
Weingut Kellermann,Les Terrasses Riesling,1979,Riesling,Wachau,Austria,750,Bottle,USD,42,3418.35,R34-4,Whites
Bodega Campos,Colline d'Oro Garnacha,1986,Garnacha,Priorat,Spain,750,Bottle,USD,13,3274.11,R15-8,Reds
Domaine Chapelle,La Combe aux Loups Sauvignon Blanc,1975,Sauvignon Blanc,Loire Valley,France,750,Bottle,USD,41,280.73,S36-4,Whites
Chateau Moreau,Encosta Dourada,2020,Sauvignon Blanc,Loire Valley,France,750,Bottle,USD,23,37.89,R7-12,Whites
Chateau d'Yquem,Grand Vin,2018,Semillon-Sauvignon Blend,Sauternes,France,750,Bottle,USD,25,23.90,S14-10,Whites
Bodegas Navarro,Sonnenlage Garnacha,1986,Garnacha,Rioja,Spain,750,Bottle,USD,38,443.45,A30-5,Reds
Weingut Hoffmann,Costa Alta Riesling,2019,Riesling,Wachau,Austria,750,Bottle,USD,17,13.14,C15-11,Whites
Bodega Mendez,La Croix Blanche,1988,Albarino,Rias Baixas,Spain,750,Bottle,USD,74,1637.83,D9-1,Whites
Prentice Winery,Estate Cabernet Sauvignon,2007,Cabernet Sauvignon,Margaret River,Australia,750,Bottle,USD,30,99.63,S25-9,Reds
Domaine Bonnet,Terrassenlage,2009,Gewurztraminer,Alsace,France,750,Bottle,EUR,113,153.51,D23-9,Whites
Domaine Fabre,Blanc de Noirs NV,,Champagne Blend,Champagne,France,750,Bottle,USD,8,654.80,S36-4,Sparkling
Lantern Bluff Vineyards,Single Vineyard Cabernet Sauvignon,2006,Cabernet Sauvignon,Margaret River,Australia,750,Bottle,USD,64,4927.00,C26-2,Reds
Clos Moreau,Clos Saint-Martin Chardonnay,2001,Chardonnay,Burgundy,France,750,Bottle,USD,40,73.98,B4-5,Whites
Bodega Herrera,Clos Saint-Martin,2022,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,4,1676.44,R33-7,Reds
Granite Draw Winery,Old Vine Sauvignon Blanc,2005,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,EUR,51,1751.33,D11-4,Whites
Chateau Girard,Alte Reben,1982,Cabernet Franc,Bordeaux,France,750,Bottle,USD,1,101.04,A26-4,Reds
Weathered Hill Winery,Sonnenlage,1977,Pinot Gris,Alsace,France,750,Bottle,USD,102,86.09,A10-4,Whites
Clos Riviere,Les Fournaux,2023,Pinot Noir,Burgundy,France,750,Bottle,USD,6,341.65,D5-4,Reds
Fox Hollow Rise Cellars,La Vigna Alta,2018,Dolcetto,Piedmont,Italy,750,Bottle,USD,43,2928.71,C33-2,Reds
Bodegas Mendez,Terrassenlage,1994,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,8,4349.49,B18-12,Reds
Thistledown Meadows Winery,Shiraz,2012,Shiraz,Barossa Valley,Australia,750,Bottle,USD,52,4208.85,S6-11,Reds
Bodega Delgado,Sauvignon Blanc,1984,Sauvignon Blanc,Casablanca Valley,Chile,750,Bottle,USD,23,1115.40,D10-12,Whites
